"file_name","nodc_sd2","year","description","ship_name","ship_shorthand","ship_code","basin_name","sub_basin_name"
"natl.1952.AB.13N.joa","A1952ABA.TXT",1952,"A section of 12 stations along 13N, 30.2 degrees West to 19.116 degrees West. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ","Albatross III 1948-2/20/59","AB","31AB","Atlantic","South-Eastern"
"natl.1952.AB.21W_17W.joa","A1952ABB.TXT",1952,"A section of 7 stations from 7.783 degrees North to 12.466 degrees North, 21.45 degrees West to 17.666 degrees West. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ","Albatross III 1948-2/20/59","AB","31AB","Atlantic","South-Eastern"
"natl.1952.AB.30W.joa","A1952ABC.TXT",1952,"A section of 12 stations from 12.016 degrees North to 23.066 degrees North, along 30W. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ","Albatross III 1948-2/20/59","AB","31AB","Atlantic","South-Eastern"
"natl.1952.AB.38W.joa","A1952ABD.TXT",1952,"A section of 7 stations from 16.408 degrees North to 23.333 degrees North, along 38W. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ","Albatross III 1948-2/20/59","AB","31AB","Atlantic","South-Eastern"
"natl.1952.AB.45W.joa","A1952ABE.TXT",1952,"A section of 6 stations from 14.075 degrees North to 20 degrees North, along 45W. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ","Albatross III 1948-2/20/59","AB","31AB","Atlantic","South-Eastern"
"natl.1952.AB.57W_52W.joa","A1952ABF.TXT",1952,"A section of 12 stations from 10.275 degrees North to 23.45 degrees North, 57.716 degrees West to 52.933 degrees West. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ","Albatross III 1948-2/20/59","AB","31AB","Atlantic","Southern"
"natl.1952.AB.7N_15N.joa","A1952ABG.TXT",1952,"A section of 7 stations from 7.783 degrees North to 15 degrees North, 30.058 degrees West to 21.45 degrees West. All have temperature, salinity, oxygen. Some have phosphate, nitrate. None have silicate. ","Albatross III 1948-2/20/59","AB","31AB","Atlantic","South-Eastern"
"natl.1954.AT.11N.joa","A1954ATA.TXT",1954,"A section of 5 stations along 11N, 71.4 degrees West to 70.9 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Southern"
"natl.1954.AT.11N_12N.joa","A1954ATB.TXT",1954,"A section of 12 stations from 11.8 degrees North to 12.566 degrees North, 71.2 degrees West to 69.866 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 9 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","South-Western "
"natl.1954.AT.26N.joa","A1954ATC.TXT",1954,"A section of 8 stations along 26N, 80.01 degrees West to 79.03 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 7 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","South-Western "
"natl.1954.AT.33N_34N.joa","A1954ATD.TXT",1954,"A section of 8 stations from 33.75 degrees North to 34.491 degrees North, 77.316 degrees West to 76.228 degrees West. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There are at least 6 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","South-Western "
"natl.1954.AT.35N_36N.joa","A1954ATE.TXT",1954,"A section of 7 stations from 35.4 degrees North to 36.021 degrees North, 75.576 degrees West to 74.633 degrees West. All have temperature, salinity. Some have oxygen. None have phosphate, silicate, nitrate. There are at least 5 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Central-Western"
"natl.1954.AT.65W_47W.joa","A1954ATF.TXT",1954,"A section of 55 stations from 11.333 degrees North to 43 degrees North, 65.183 degrees West to 47.85 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 29 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Southern"
"natl.1954.AT.68W.joa","A1954ATG.TXT",1954,"A section of 13 stations from 11.433 degrees North to 19.416 degrees North, along 68W. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 5 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Southern"
"natl.1954.AT.71W.joa","A1954ATH.TXT",1954,"A section of 4 stations from 11.15 degrees North to 11.633 degrees North, along 71W. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There is at least 1 full depth cast. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","South-Western "
"natl.1954.AT.75W.joa","A1954ATI.TXT",1954,"A section of 4 stations from 34.626 degrees North to 35.023 degrees North, along 75W. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There are at least 3 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","South-Western "
"natl.1954.AT.78W.joa","A1954ATJ.TXT",1954,"A section of 7 stations from 32.841 degrees North to 33.811 degrees North, along 78W. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","South-Western "
"natl.1955.AT.13N_19N.joa","A1955ATA.TXT",1955,"A section of 15 stations from 13.416 degrees North to 19.933 degrees North, 66.583 degrees West to 56.883 degrees West. All have temperature, salinity, oxygen, silicate. None have phosphate, nitrate. There are at least 5 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Southern"
"natl.1955.AT.25N_31N.joa","A1955ATB.TXT",1955,"A section of 21 stations from 25.133 degrees North to 31.883 degrees North, 77.366 degrees West to 65.466 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 7 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","South-Western "
"natl.1955.AT.27N.joa","A1955ATC.TXT",1955,"A section of 10 stations along 27N, 79.966 degrees West to 79.133 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","South-Western "
"natl.1955.AT.29N_32N.joa","A1955ATD.TXT",1955,"A section of 18 stations from 29.533 degrees North to 32.866 degrees North, 78.216 degrees West to 70.533 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 9 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","South-Western "
"natl.1955.AT.30N_31N.joa","A1955ATE.TXT",1955,"A section of 5 stations from 30 degrees North to 31.616 degrees North, 51.995 degrees West to 50.066 degrees West. All have temperature, salinity, oxygen. Some have phosphate. None have silicate, nitrate. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Southern"
"natl.1955.AT.33N_36N.joa","A1955ATF.TXT",1955,"A section of 21 stations from 33.016 degrees North to 36.816 degrees North, 74.916 degrees West to 65.95 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 7 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Central-Western"
"natl.1955.AT.34N_37N.joa","A1955ATG.TXT",1955,"A section of 5 stations from 34.043 degrees North to 37.641 degrees North, 70.116 degrees West to 66.466 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Southern"
"natl.1955.AT.52W.joa","A1955ATH.TXT",1955,"A section of 11 stations from 30 degrees North to 38.366 degrees North, along 52W. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Southern"
"natl.1955.AT.70W.joa","A1955ATI.TXT",1955,"A section of 6 stations from 30.016 degrees North to 35.15 degrees North, along 70W. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","South-Western "
"natl.1956.AT.39N.joa","A1956ATA.TXT",1956,"A section of 10 stations along 39N, 73.891 degrees West to 71.85 degrees West. All have temperature, salinity, oxygen, phosphate, nitrate. None have silicate. There are at least 7 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Central-Western"
"natl.1956.AT.39N_40N.joa","A1956ATB.TXT",1956,"A section of 9 stations from 39.765 degrees North to 40.965 degrees North, 73.891 degrees West to 71.811 degrees West. All have temperature, salinity, oxygen, phosphate, nitrate. None have silicate. All stations have full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Central-Western"
"natl.1956.AT.51W.joa","A1956ATC.TXT",1956,"A section of 56 stations from 7.15 degrees North to 43.15 degrees North, along 51W. All have temperature, salinity, oxygen. Most have phosphate. None have silicate, nitrate. There are at least 26 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Southern"
"natl.1956.AT.61W_60W.joa","A1956ATD.TXT",1956,"A section of 4 stations from 17.816 degrees North to 24.816 degrees North, 61.916 degrees West to 60.083 degrees West. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. There is at least 1 full depth cast. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Southern"
"natl.1956.AT.71W.joa","A1956ATE.TXT",1956,"A section of 7 stations from 39.605 degrees North to 40.965 degrees North, along 71W. All have temperature, salinity, oxygen, phosphate, nitrate. None have silicate. There are at least 2 full depth casts. ","Atlantis I 1931-9/63","AT","31AT","Atlantic","Central-Western"
"natl.1957.AN.64W_55W.joa","A1957ANA.TXT",1957,"A section of 19 stations from 18.883 degrees North to 32.25 degrees North, 64.5 degrees West to 55 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 15 full depth casts. ","Atlantis II 4/63-Present","AN","31AN","Atlantic","Southern"
"natl.1957.AN.68W_67W.joa","A1957ANB.TXT",1957,"A section of 5 stations from 19.616 degrees North to 23.483 degrees North, 68.166 degrees West to 67.183 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There is at least 1 full depth cast. ","Atlantis II 4/63-Present","AN","31AN","Atlantic","Southern"
"natl.1957.CF.14N_30N.joa","A1957CFA.TXT",1957,"A section of 14 stations from 14.65 degrees North to 30.933 degrees North, 60.55 degrees West to 17.633 degrees West. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. There are at least 3 full depth casts. ","Crawford","CF","31CF","Atlantic","Southern"
"natl.1957.CF.16N.joa","A1957CFB.TXT",1957,"A section of 36 stations along 16N, 61 degrees West to 16.8 degrees West. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. There are at least 23 full depth casts. ","Crawford","CF","31CF","Atlantic","Southern"
"natl.1957.CF.18W_9W.joa","A1957CFC.TXT",1957,"A section of 19 stations from 23.8 degrees North to 37.166 degrees North, 18.533 degrees West to 9.133 degrees West. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. There are at least 15 full depth casts. ","Crawford","CF","31CF","Atlantic","South-Eastern"
"natl.1957.CF.40N.joa","A1957CFD.TXT",1957,"A section of 38 stations along 40N, 68.416 degrees West to 9.55 degrees West. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. There are at least 31 full depth casts. ","Crawford","CF","31CF","Atlantic","Central-Western"
"natl.1957.CF.8N.joa","A1957CFE.TXT",1957,"A section of 31 stations along 8N, 57.7 degrees West to 14.4 degrees West. All have temperature, salinity, oxygen. Most have phosphate. None have silicate, nitrate. There are at least 19 full depth casts. ","Crawford","CF","31CF","Atlantic","Southern"
"natl.1957.DS.24N.joa","A1957DSA.TXT",1957,"A section of 38 stations along 24N, 75.466 degrees West to 16.333 degrees West. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 33 full depth casts. ","Discovery II","DS","74DS","Atlantic","South-Western "
"natl.1957.DS.24N_2.joa","A1957DSB.TXT",1957,"A section of 38 stations from 24.433 degrees North to 24.616 degrees North, 75.466 degrees West to 16.333 degrees West. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 33 full depth casts. ","Discovery II","DS","74DS","Atlantic","South-Western "
"natl.1957.DS.32N.joa","A1957DSC.TXT",1957,"A section of 26 stations along 32N, 50.416 degrees West to 9.733 degrees West. All have temperature, salinity, oxygen, silicate. Most have phosphate. None have nitrate. There are at least 24 full depth casts. ","Discovery II","DS","74DS","Atlantic","Southern"
"natl.1957.DS.32N_2.joa","A1957DSD.TXT",1957,"A section of 26 stations from 32.166 degrees North to 32.316 degrees North, 50.416 degrees West to 9.733 degrees West. All have temperature, salinity, oxygen, silicate. Most have phosphate. None have nitrate. There are at least 24 full depth casts. ","Discovery II","DS","74DS","Atlantic","Southern"
"natl.1957.DS.47N.joa","A1957DSE.TXT",1957,"A section of 40 stations along 47N, 49.133 degrees West to 10.566 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 35 full depth casts. ","Discovery II","DS","74DS","Atlantic","Central-Western"
"natl.1957.DS.47N_2.joa","A1957DSF.TXT",1957,"A section of 40 stations from 44.65 degrees North to 49.666 degrees North, 49.133 degrees West to 10.566 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 35 full depth casts. ","Discovery II","DS","74DS","Atlantic","Central-Western"
"natl.1958.AD.60N_65N.joa","A1958AD1.TXT",1958,"A section of 16 stations from 60 degrees North to 65.45 degrees North, 37 degrees West to 26.333 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 14 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.61N_66N.joa","A1958AD2.TXT",1958,"A section of 22 stations from 61.133 degrees North to 66.566 degrees North, 33.95 degrees West to 21.416 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Eastern"
"natl.1958.AD.61N_66N_2.joa","A1958AD3.TXT",1958,"A section of 14 stations from 61.133 degrees North to 66.016 degrees North, 33 degrees West to 21.433 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 13 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Eastern"
"natl.1958.AD.63N_66N.joa","A1958AD4.TXT",1958,"A section of 11 stations from 63.083 degrees North to 66.5 degrees North, 29.933 degrees West to 23.95 degrees West. All have temperature, salinity. Most have oxygen. None have phosphate, silicate, nitrate. There are at least 9 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Eastern"
"natl.1958.AD.64N.joa","A1958AD5.TXT",1958,"A section of 15 stations along 64N, 37 degrees West to 25.333 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 14 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.64N_67N.joa","A1958AD6.TXT",1958,"A section of 14 stations from 64.716 degrees North to 67.283 degrees North, 32.566 degrees West to 24.5 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 13 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Eastern"
"natl.1958.AD.6E.joa","A1958AD7.TXT",1958,"A section of 7 stations from 54.383 degrees North to 56.366 degrees North, along 6E. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.1E_3E.joa","A1958ADA.TXT",1958,"A section of 12 stations from 54.25 degrees North to 56.233 degrees North, 1.883 degrees East to 3.2 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.21W_20W.joa","A1958ADB.TXT",1958,"A section of 7 stations from 61.133 degrees North to 63.416 degrees North, 21.416 degrees West to 20.133 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.21W_20W_2.joa","A1958ADC.TXT",1958,"A section of 7 stations from 61.133 degrees North to 63.416 degrees North, 21.433 degrees West to 20.133 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.2E_4E.joa","A1958ADD.TXT",1958,"A section of 19 stations from 54.516 degrees North to 56.483 degrees North, 2.666 degrees East to 4.2 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.3E_5E.joa","A1958ADE.TXT",1958,"A section of 11 stations from 54.416 degrees North to 56.516 degrees North, 3.65 degrees East to 5.1 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.43W.joa","A1958ADF.TXT",1958,"A section of 9 stations from 56.333 degrees North to 59.683 degrees North, along 43W. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 8 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.4E_5E.joa","A1958ADG.TXT",1958,"A section of 8 stations from 54.366 degrees North to 56.583 degrees North, 4.35 degrees East to 5.9 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.4E_6E.joa","A1958ADH.TXT",1958,"A section of 9 stations from 54.366 degrees North to 56.55 degrees North, 4.633 degrees East to 6.083 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.50N_59N.joa","A1958ADI.TXT",1958,"A section of 18 stations from 50 degrees North to 59.466 degrees North, 43.9 degrees West to 16 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 14 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.53N_55N.joa","A1958ADJ.TXT",1958,"A section of 15 stations from 53.9 degrees North to 55.483 degrees North, 0.9 degrees East to 4.45 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.53N_55N_2.joa","A1958ADK.TXT",1958,"A section of 12 stations from 53.783 degrees North to 55.316 degrees North, 1.316 degrees East to 4.55 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.54N.joa","A1958ADL.TXT",1958,"A section of 17 stations along 54N, 1.133 degrees West to 6.533 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.54N_2.joa","A1958ADM.TXT",1958,"A section of 10 stations from 54.083 degrees North to 54.4 degrees North, 4.366 degrees East to 7.966 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.54N_55N.joa","A1958ADN.TXT",1958,"A section of 8 stations from 54.216 degrees North to 55.983 degrees North, 4.85 degrees East to 7.333 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.55N.joa","A1958ADO.TXT",1958,"A section of 12 stations along 55N, 1.116 degrees West to 4.366 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.56N.joa","A1958ADP.TXT",1958,"A section of 20 stations along 56N, 43.416 degrees West to 13.533 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 16 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.56N_59N.joa","A1958ADQ.TXT",1958,"A section of 9 stations from 56.333 degrees North to 59.833 degrees North, 43.083 degrees West to 38.066 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 7 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.56N_59N_2.joa","A1958ADR.TXT",1958,"A section of 5 stations from 56.4 degrees North to 59.35 degrees North, 42.833 degrees West to 38.066 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 3 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.56N_60N.joa","A1958ADS.TXT",1958,"A section of 12 stations from 56.366 degrees North to 60.9 degrees North, 41.583 degrees West to 30.8 degrees West. All have temperature, salinity. Most have oxygen. None have phosphate, silicate, nitrate. There are at least 10 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.56N_61N.joa","A1958ADT.TXT",1958,"A section of 15 stations from 56.233 degrees North to 61.033 degrees North, 41.916 degrees West to 30.8 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 11 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.56N_64N.joa","A1958ADU.TXT",1958,"A section of 14 stations from 56.333 degrees North to 64.716 degrees North, 39.8 degrees West to 24.5 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 13 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.58N_62N.joa","A1958ADV.TXT",1958,"A section of 12 stations from 58.183 degrees North to 62.333 degrees North, 40.45 degrees West to 28.916 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 10 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.58N_63N.joa","A1958ADW.TXT",1958,"A section of 16 stations from 58.15 degrees North to 63.366 degrees North, 40.666 degrees West to 28.9 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.59N_64N.joa","A1958ADX.TXT",1958,"A section of 14 stations from 59.9 degrees North to 64.366 degrees North, 35.45 degrees West to 26.5 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There are at least 9 full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","North-Western"
"natl.1958.AD.5E_6E.joa","A1958ADY.TXT",1958,"A section of 10 stations from 54.316 degrees North to 56.566 degrees North, 5.516 degrees East to 6.6 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.AD.5E_8E.joa","A1958ADZ.TXT",1958,"A section of 10 stations from 54.133 degrees North to 56.583 degrees North, 5.9 degrees East to 8.183 degrees East. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. All stations have full depth casts. ","Anton Dohrn Pre-8/72","AD","06AD","Atlantic","Central-Eastern"
"natl.1958.CF.64W.joa","A1958CFA.TXT",1958,"A section of 22 stations from 10.416 degrees North to 18.466 degrees North, along 64W. All have temperature, salinity, oxygen. Some have phosphate. None have silicate, nitrate. There are at least 17 full depth casts. ","Crawford","CF","31CF","Atlantic","Southern"
"natl.1958.CF.68W_64W.joa","A1958CFB.TXT",1958,"A section of 17 stations from 18.7 degrees North to 32.25 degrees North, 68.3 degrees West to 64.666 degrees West. All have temperature, salinity, oxygen. Some have phosphate. None have silicate, nitrate. There are at least 11 full depth casts. ","Crawford","CF","31CF","Atlantic","Southern"
"natl.1958.CF.71W_64W.joa","A1958CFC.TXT",1958,"A section of 12 stations from 32.983 degrees North to 40.966 degrees North, 71.816 degrees West to 64.783 degrees West. All have temperature, salinity, oxygen, phosphate, silicate, nitrate. There are at least 6 full depth casts. ","Crawford","CF","31CF","Atlantic","Southern"
"natl.1958.CF.73W.joa","A1958CFD.TXT",1958,"A section of 16 stations from 11.366 degrees North to 21.9 degrees North, along 73W. All have temperature, oxygen. Most have salinity. Some have phosphate. None have silicate, nitrate. There are at least 13 full depth casts. ","Crawford","CF","31CF","Atlantic","South-Western "
"natl.1958.CF.79W.joa","A1958CFE.TXT",1958,"A section of 20 stations from 9.75 degrees North to 20.933 degrees North, along 79W. All have temperature, salinity, oxygen. Some have phosphate. None have silicate, nitrate. There are at least 15 full depth casts. ","Crawford","CF","31CF","Atlantic","South-Western "
"natl.1958.CF.84W.joa","A1958CFF.TXT",1958,"A section of 11 stations from 16.133 degrees North to 21.733 degrees North, along 84W. All have temperature, salinity, oxygen. Most have phosphate. None have silicate, nitrate. There are at least 9 full depth casts. ","Crawford","CF","31CF","Atlantic","South-Western "
"natl.1958.DS.36N.joa","A1958DSA.TXT",1958,"A section of 11 stations along 36N, 11.066 degrees West to 8.65 degrees West. All have temperature, salinity. Most have oxygen, phosphate. None have silicate, nitrate. All stations have full depth casts. ","Discovery II","DS","74DS","Atlantic","South-Eastern"
"natl.1958.DS.42N.joa","A1958DSB.TXT",1958,"A section of 8 stations along 42N, 11.6 degrees West to 9.333 degrees West. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. There are at least 7 full depth casts. ","Discovery II","DS","74DS","Atlantic","Central-Eastern"
"natl.1958.DS.42N_2.joa","A1958DSC.TXT",1958,"A section of 17 stations from 42.766 degrees North to 43.15 degrees North, 28.783 degrees West to 9.583 degrees West. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 16 full depth casts. ","Discovery II","DS","74DS","Atlantic","Central-Western"
"natl.1958.DS.46N.joa","A1958DSD.TXT",1958,"A section of 19 stations along 46N, 27.316 degrees West to 4.466 degrees West. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. All stations have full depth casts. ","Discovery II","DS","74DS","Atlantic","Central-Eastern"
"natl.1958.DS.49N_55N.joa","A1958DSE.TXT",1958,"A section of 19 stations from 49.316 degrees North to 55.95 degrees North, 34.983 degrees West to 11.133 degrees West. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 17 full depth casts. ","Discovery II","DS","74DS","Atlantic","Central-Eastern"
"natl.1958.DS.4W.joa","A1958DSF.TXT",1958,"A section of 6 stations from 35.566 degrees North to 36.366 degrees North, along 4W. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. There are at least 4 full depth casts. ","Discovery II","DS","74DS","Atlantic","South-Eastern"
"natl.1958.DS.4W_2.joa","A1958DSG.TXT",1958,"A section of 6 stations from 35.566 degrees North to 36.366 degrees North, 5.033 degrees West to 4.966 degrees West. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. There are at least 4 full depth casts. ","Discoverer","DS","31DS","Atlantic","South-Eastern"
"natl.1958.DS.58N.joa","A1958DSH.TXT",1958,"A section of 24 stations along 58N, 30.083 degrees West to 8.666 degrees West. All have temperature, salinity, oxygen. Most have phosphate, silicate. None have nitrate. There are at least 23 full depth casts. ","Discovery II","DS","74DS","Atlantic","Central-Eastern"
"natl.1958.DS.6W.joa","A1958DSI.TXT",1958,"A section of 8 stations from 35 degrees North to 36.333 degrees North, along 6W. All have temperature, salinity, oxygen, phosphate. None have silicate, nitrate. All stations have full depth casts. ","Discovery II","DS","74DS","Atlantic","South-Eastern"
