"file_name","nodc_sd2","year","description","ship_name","ship_shorthand","ship_code","basin_name","sub_basin_name"
"natl.1965.TT.64W.joa","A1965TTB.TXT",1965,"A section of 9 stations from 10.516 degrees North to 18.76 degrees North, along 64W. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 3 full depth casts. ","Thomas G. Thompson KGWT 1963-1991","TT","31TT","Atlantic","Southern"
"natl.1965.TT.66W_64W.joa","A1965TTC.TXT",1965,"A section of 7 stations from 10.516 degrees North to 12.325 degrees North, 66.418 degrees West to 64.666 degrees West. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 5 full depth casts. ","Thomas G. Thompson KGWT 1963-1991","TT","31TT","Atlantic","Southern"
"natl.1965.TT.70W.joa","A1965TTD.TXT",1965,"A section of 5 stations from 11.743 degrees North to 13.675 degrees North, along 70W. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 4 full depth casts. ","Thomas G. Thompson KGWT 1963-1991","TT","31TT","Atlantic","Southern"
"natl.1965.TT.73W.joa","A1965TTE.TXT",1965,"A section of 4 stations from 11.783 degrees North to 12.833 degrees North, along 73W. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 2 full depth casts. ","Thomas G. Thompson KGWT 1963-1991","TT","31TT","Atlantic","South-Western "
"natl.1965.TT.74W.joa","A1965TTF.TXT",1965,"A section of 4 stations from 11.186 degrees North to 12.283 degrees North, along 74W. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 2 full depth casts. ","Thomas G. Thompson KGWT 1963-1991","TT","31TT","Atlantic","South-Western "
"natl.1965.TT.77W.joa","A1965TTG.TXT",1965,"A section of 6 stations from 8.863 degrees North to 14.516 degrees North, along 77W. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 2 full depth casts. ","Thomas G. Thompson KGWT 1963-1991","TT","31TT","Atlantic","South-Western "
"natl.1965.TT.80W.joa","A1965TTH.TXT",1965,"A section of 5 stations from 9.543 degrees North to 14.155 degrees North, along 80W. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 3 full depth casts. ","Thomas G. Thompson KGWT 1963-1991","TT","31TT","Atlantic","South-Western "
"natl.1965.TT.9N_10N.joa","A1965TTI.TXT",1965,"A section of 4 stations from 9.423 degrees North to 10.216 degrees North, 78.18 degrees West to 77 degrees West. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There is at least 1 full depth cast. ","Thomas G. Thompson KGWT 1963-1991","TT","31TT","Atlantic","South-Western "
"natl.1965.TT.9N_10N_2.joa","A1965TTJ.TXT",1965,"A section of 4 stations from 9.7 degrees North to 10.216 degrees North, 77 degrees West to 76.016 degrees West. All have temperature, salinity, oxygen, phosphate, silicate. None have nitrate. There are at least 2 full depth casts. ","Thomas G. Thompson KGWT 1963-1991","TT","31TT","Atlantic","South-Western "
"natl.1966.BA.41N.joa","A1966BAA.TXT",1966,"A section of 26 stations along 41N, 53.675 degrees West to 31.585 degrees West. All have temperature, salinity, silicate. Most have oxygen. None have phosphate, nitrate. There are at least 22 full depth casts. ","Baffin","BA","18BA","Atlantic","Central-Western"
